,latitude,longitude,time,t,point
0,39.984101606103,5.836373903381393,2025-02-01,12.8984375,A
1,39.85470937322553,14.993404405381472,2025-02-01,14.878906,B
2,47.01352913562899,5.898809254332635,2025-02-01,1.5029297,C
3,39.984101606103,5.836373903381393,2025-02-02,12.163727,A
4,39.85470937322553,14.993404405381472,2025-02-02,14.702789,B
5,47.01352913562899,5.898809254332635,2025-02-02,-0.44857788,C
6,39.984101606103,5.836373903381393,2025-02-03,14.123383,A
7,39.85470937322553,14.993404405381472,2025-02-03,14.404633,B
8,47.01352913562899,5.898809254332635,2025-02-03,0.24545288,C
9,39.984101606103,5.836373903381393,2025-02-04,13.851593,A
10,39.85470937322553,14.993404405381472,2025-02-04,13.97171,B
11,47.01352913562899,5.898809254332635,2025-02-04,-1.3778992,C
12,39.984101606103,5.836373903381393,2025-02-05,13.593658,A
13,39.85470937322553,14.993404405381472,2025-02-05,13.247955,B
14,47.01352913562899,5.898809254332635,2025-02-05,-3.7344666,C
15,39.984101606103,5.836373903381393,2025-02-06,12.858734,A
16,39.85470937322553,14.993404405381472,2025-02-06,12.968109,B
17,47.01352913562899,5.898809254332635,2025-02-06,-1.9283752,C
18,39.984101606103,5.836373903381393,2025-02-07,13.477905,A
19,39.85470937322553,14.993404405381472,2025-02-07,14.067749,B
20,47.01352913562899,5.898809254332635,2025-02-07,-1.1392822,C
21,39.984101606103,5.836373903381393,2025-02-08,13.845978,A
22,39.85470937322553,14.993404405381472,2025-02-08,14.441681,B
23,47.01352913562899,5.898809254332635,2025-02-08,4.492462,C
24,39.984101606103,5.836373903381393,2025-02-09,13.185638,A
25,39.85470937322553,14.993404405381472,2025-02-09,13.959076,B
26,47.01352913562899,5.898809254332635,2025-02-09,2.4551697,C
27,39.984101606103,5.836373903381393,2025-02-10,13.21347,A
28,39.85470937322553,14.993404405381472,2025-02-10,12.783783,B
29,47.01352913562899,5.898809254332635,2025-02-10,3.790619,C
30,39.984101606103,5.836373903381393,2025-02-11,14.229584,A
31,39.85470937322553,14.993404405381472,2025-02-11,13.257904,B
32,47.01352913562899,5.898809254332635,2025-02-11,7.6299744,C
33,39.984101606103,5.836373903381393,2025-02-12,14.498688,A
34,39.85470937322553,14.993404405381472,2025-02-12,13.458649,B
35,47.01352913562899,5.898809254332635,2025-02-12,8.813141,C
36,39.984101606103,5.836373903381393,2025-02-13,14.743622,A
37,39.85470937322553,14.993404405381472,2025-02-13,14.499481,B
38,47.01352913562899,5.898809254332635,2025-02-13,8.794403,C
39,39.984101606103,5.836373903381393,2025-02-14,13.483917,A
40,39.85470937322553,14.993404405381472,2025-02-14,14.302277,B
41,47.01352913562899,5.898809254332635,2025-02-14,1.7817688,C
42,39.984101606103,5.836373903381393,2025-02-15,13.493683,A
43,39.85470937322553,14.993404405381472,2025-02-15,14.700714,B
44,47.01352913562899,5.898809254332635,2025-02-15,-2.5707703,C
45,39.984101606103,5.836373903381393,2025-02-16,12.854889,A
46,39.85470937322553,14.993404405381472,2025-02-16,11.937897,B
47,47.01352913562899,5.898809254332635,2025-02-16,0.37734985,C
48,39.984101606103,5.836373903381393,2025-02-17,13.94989,A
49,39.85470937322553,14.993404405381472,2025-02-17,14.3463745,B
50,47.01352913562899,5.898809254332635,2025-02-17,1.0026245,C
51,39.984101606103,5.836373903381393,2025-02-18,13.815399,A
52,39.85470937322553,14.993404405381472,2025-02-18,13.357391,B
53,47.01352913562899,5.898809254332635,2025-02-18,0.72457886,C
54,39.984101606103,5.836373903381393,2025-02-19,14.543243,A
55,39.85470937322553,14.993404405381472,2025-02-19,13.730743,B
56,47.01352913562899,5.898809254332635,2025-02-19,3.8547668,C
57,39.984101606103,5.836373903381393,2025-02-20,14.782501,A
58,39.85470937322553,14.993404405381472,2025-02-20,13.361603,B
59,47.01352913562899,5.898809254332635,2025-02-20,8.019806,C
60,39.984101606103,5.836373903381393,2025-02-21,12.987793,A
61,39.85470937322553,14.993404405381472,2025-02-21,12.723145,B
62,47.01352913562899,5.898809254332635,2025-02-21,7.6899414,C
63,39.984101606103,5.836373903381393,2025-02-22,13.463867,A
64,39.85470937322553,14.993404405381472,2025-02-22,13.477539,B
65,47.01352913562899,5.898809254332635,2025-02-22,10.422852,C
66,39.984101606103,5.836373903381393,2025-02-23,14.68515,A
67,39.85470937322553,14.993404405381472,2025-02-23,13.56308,B
68,47.01352913562899,5.898809254332635,2025-02-23,8.724213,C
69,39.984101606103,5.836373903381393,2025-02-24,14.211884,A
70,39.85470937322553,14.993404405381472,2025-02-24,14.050751,B
71,47.01352913562899,5.898809254332635,2025-02-24,7.969696,C
72,39.984101606103,5.836373903381393,2025-02-25,14.56723,A
73,39.85470937322553,14.993404405381472,2025-02-25,13.487152,B
74,47.01352913562899,5.898809254332635,2025-02-25,8.903168,C
75,39.984101606103,5.836373903381393,2025-02-26,13.220551,A
76,39.85470937322553,14.993404405381472,2025-02-26,14.592621,B
77,47.01352913562899,5.898809254332635,2025-02-26,4.0350037,C
78,39.984101606103,5.836373903381393,2025-02-27,13.721832,A
79,39.85470937322553,14.993404405381472,2025-02-27,12.371246,B
80,47.01352913562899,5.898809254332635,2025-02-27,5.166168,C
81,39.984101606103,5.836373903381393,2025-02-28,13.633759,A
82,39.85470937322553,14.993404405381472,2025-02-28,14.43454,B
83,47.01352913562899,5.898809254332635,2025-02-28,2.563446,C
